type,term,term_id,variant_of,variant_of_id,plural_of,plural_of_id,romanization_of,romanization_of_id,language_id,language,malignant_meaning,benign_meaning,is_about_nationality,nationalities/0,is_about_ethnicity,athnicities/0,is_about_religion,religions/0,is_about_gender,genders/0,is_about_orientation,orientations/0,is_about_disability,is_about_class,is_archaic,offensiveness,created_on,updated_on,athnicities/1,,,
Discrimatory,japies,HqzrVUzRd,,,japie,iN3RRJLhL,,,eng,English,"Derogatory term for a Caucasian South African, possibly derived from the Dutch term 'plaasjapie' meaning a farm-boy",,Y,ZA,Y,African American,N,Judaism,N,,N,,N,N,N,,16/04/2021 19:00,-0001-11-30 05:17:32,,,,
Discrimatory,flipette,DeRYo4Zsa,flip,mBftujums,,,,,eng,English,,,Y,PH,N,African American,N,Judaism,N,,N,,N,N,N,,16/04/2021 19:02,-0001-11-30 05:17:32,,,,
Discrimatory,moch,VqxmEzMLG,mocky,qK1gfBRGT,,,,,eng,English,A Jewish person (first used in the 1930s).,,N,PH,Y,African American,N,Judaism,N,,N,,N,N,N,Very offensive,16/04/2021 19:03,-0001-11-30 05:17:32,,,,
Discrimatory,tynekere,GVvimownT,tinker,ffDPnZymN,,,,,eng,English,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,N,PH,Y,African American,N,Judaism,N,,N,,N,N,N,Very offensive,16/04/2021 19:03,-0001-11-30 05:17:32,,,,
Discrimatory,shant,GdNUHdVeA,,,,,,,eng,English,"A disenfranchised Irish peson, from 'shanty'.","Contraction of ""shall not""",Y,IE,N,African American,N,Judaism,N,,N,,N,Y,N,Very offensive,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
Discrimatory,niggera,YGqo9guhn,,,,,,,eng,English,Alternative use of the term 'nigger',,N,IE,Y,African,N,Judaism,N,,N,,N,N,N,Extremely offensive,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
Discrimatory,Jerries,yjWrZvJbV,,,Jerry,aQvnZPZzy,,,eng,English,"A German, especially a German soldier (probably an alteration of German). Origin of Jerry can.",A person's name,Y,DE,N,African,N,Judaism,N,,N,,N,N,N,,16/04/2021 19:00,-0001-11-30 05:17:32,,,,
Discrimatory,flipettes,xAhnvmkLB,flip,mBftujums,flipette,DeRYo4Zsa,,,eng,English,,,Y,PH,N,African,N,Judaism,N,,N,,N,N,N,,16/04/2021 19:02,-0001-11-30 05:17:32,,,,
Discrimatory,mock,CHdkEwFgN,mocky,qK1gfBRGT,,,,,eng,English,A Jewish person (first used in the 1930s).,To poke fun at someone,N,PH,Y,African,N,Judaism,N,,N,,N,N,N,Very offensive,16/04/2021 19:03,-0001-11-30 05:17:32,,,,
Discrimatory,Gerudo,JBQTLru4c,,,,,,,eng,English,"A Muslim female. Probably formed from the name of the Gerudo people, a fantasy race created in the Legend of Zelda series.",,N,PH,N,African,Y,Islam,N,,N,,N,N,N,Extremely offensive,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
Discrimatory,niggerette,JmQk4dvjh,,,,,,,eng,English,Female diminuitive of 'nigger',,N,PH,Y,African American,N,Islam,N,,N,,N,N,N,Extremely offensive,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
Discrimatory,FOB,QDQcxXhcN,fresh off the boat,hRjBkgnHX,,,,,eng,English,A person of foreign nationality.,"A chain, particularly when used with a timepiece",Y,PH,N,African American,N,Islam,N,,N,,N,N,N,Very offensive,16/04/2021 19:02,-0001-11-30 05:17:32,,,,
Discrimatory,mockey,MZLTBGqGX,mocky,qK1gfBRGT,,,,,eng,English,A Jewish person (first used in the 1930s).,,N,PH,Y,African American,N,Islam,N,,N,,N,N,N,Very offensive,16/04/2021 19:03,-0001-11-30 05:17:32,,,,
Discrimatory,Ubangee,PK7UnbeGw,Ubangi,faLWNqMpk,,,,,eng,English,"A black person, particularly a black woman, from the Ubangi people of Africa",,N,PH,Y,African American,N,Islam,N,,N,,N,N,N,Very offensive,16/04/2021 19:03,-0001-11-30 05:17:32,,,,
Discrimatory,Christ killer,txFimzoYC,,,,,,,eng,English,"A Jew, an allusion to Jewish deicide. On occasion it can also be used as an anti-Italian slur on the basis the Romans, as ancestors of the present-day Italians, executed Jesus.",,N,PH,Y,Italian,Y,Judaism,N,,N,,N,N,N,Extremely offensive,16/04/2021 18:59,-0001-11-30 05:17:32,Jews,,,
Discrimatory,niggerfag,fLUpDkJrq,,,,,,,eng,English,A homosexual of African descent,,N,PH,Y,African American,N,Judaism,N,,Y,homosexual,N,N,N,Extremely offensive,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
Discrimatory,jigaboos,6rNFDuR4E,,,jigaboo,oyRMGMPFz,,,eng,English,"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",,N,PH,Y,African American,N,Judaism,N,,N,homosexual,N,N,N,Extremely offensive,16/04/2021 19:00,-0001-11-30 05:17:32,,,,
Discrimatory,mockie,kkjzeuCut,mocky,qK1gfBRGT,,,,,eng,English,A Jewish person (first used in the 1930s).,,N,PH,Y,African American,N,Judaism,N,,N,homosexual,N,N,N,Very offensive,16/04/2021 19:03,-0001-11-30 05:17:32,,,,
Discrimatory,shade,Q7Wxd9wzz,,,,,,,eng,English,"A black person, or one attempting to be perceived as black.","Shelter, particularly from the sun",N,PH,Y,African American,N,Judaism,N,,N,homosexual,N,N,N,Very offensive,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
Discrimatory,niggerize,wzNCnuNYT,,,,,,,eng,English,To increase African American / African influence,,N,PH,Y,African American,N,Judaism,N,,N,homosexual,N,N,N,Extremely offensive,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
Discrimatory,good goy,erEWTbRnF,,,,,,,eng,English,A non-Jewish person who disbelieves in a global Jewish conspiracy,,N,PH,Y,Jews,N,Judaism,N,,N,homosexual,N,N,N,,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
Discrimatory,jiggas,cxWwiBzpq,,,jigga,TRWYCthDb,,,eng,English,"Abbreviation of jiggaboo or jigabo, a slur for people of African descent",Ecstasy pill,N,PH,Y,African American,N,Judaism,N,,N,homosexual,N,N,N,,16/04/2021 19:00,-0001-11-30 05:17:32,African,,,
Discrimatory,fruity,Ghw9F8jrb,fruit,MXBMtLUJL,,,,,eng,English,,,N,PH,N,African American,N,Judaism,N,,Y,homosexual,N,N,N,Significantly offensive,16/04/2021 19:02,-0001-11-30 05:17:32,African,,,
Discrimatory,niggerwool,Wvu4YscsM,,,,,,,eng,English,Describing the texture of African American hair,,N,PH,Y,African,N,Judaism,N,,N,homosexual,N,N,N,Extremely offensive,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
Discrimatory,the goyim know,VwgjUqPyn,,,,,,,eng,English,Meme implying a supposed global Jewish conspiracy,,N,PH,Y,Jews,N,Judaism,N,,N,homosexual,N,N,N,,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
